2021-08-22,"['AUD', 'BLZ-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-23,"['AUD', 'BLZ-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-24,"['AUD', 'BLZ-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-25,"['AUD', 'BLZ-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-26,"['AUD', 'BLZ-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-27,"['AUD', 'BLZ-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-28,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-29,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-30,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-08-31,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-01,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-02,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-03,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-04,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-05,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-06,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'BEL', 'DIA', 'HOT-USDT']"
2021-09-07,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'BEL', 'DIA', 'HOT-USDT']"
2021-09-08,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'BEL', 'DIA', 'HOT-USDT']"
2021-09-09,"['AUD', 'IOTA-USDT', 'SNX-USDT', 'BEL', 'DIA', 'HOT-USDT']"
2021-09-10,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-11,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-12,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-13,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-14,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-15,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-16,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-17,"['AUD', 'FLM-USDT', 'AAVE-USDT', 'SNX-USDT', 'BEL', 'DIA']"
2021-09-18,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-19,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-20,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-21,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-22,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-23,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-24,"['AUD', 'BNT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-25,"['AUD', 'PERL', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-26,"['AUD', 'PERL', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-27,"['AUD', 'PERL', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'BEL']"
2021-09-28,"['AUD', 'ALGO-USDT', 'CTK', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT']"
2021-09-29,"['THETA-USDT', 'XMR-USDT', 'NKN-USDT', 'AVAX-USDT', 'IOST-USDT', 'MATIC-USDT']"
2021-09-30,"['AUD', 'FIL-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-01,"['AUD', 'FIL-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-02,"['AUD', 'FIL-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-03,"['AUD', 'FIL-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-04,"['AUD', 'FIL-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-05,"['AUD', 'XTZ-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-06,"['AUD', 'XTZ-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-07,"['AUD', 'XTZ-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-08,"['AUD', 'XTZ-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-09,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-10,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-11,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-12,"['AUD', '1000XEC-USDT', 'AAVE-USDT', 'SNX-USDT', 'CELO-USDT', 'BEL']"
2021-10-13,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-14,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-15,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-16,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-17,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-18,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
2021-10-19,"['AUD', 'CTK', 'SNX-USDT', 'CELO-USDT', 'BEL', 'DIA']"
